employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Navya,Bhalla,Female,West Bengal,Howrah,2016-01-10,IT,Software Developer,Master,83990,Needs Improvement,Yes,1970-09-18,2021-07-05
00-42868828,Seher,Devan,Male,West Bengal,Howrah,2017-04-06,IT,IT Support Specialist,Bachelor,67116,Satisfactory,No,1963-04-10,2019-06-14
00-83197857,Mamooty,Boase,Male,Uttar Pradesh,Lucknow,2016-10-13,IT,System Administrator,Bachelor,100891,Good,No,1987-12-02,2021-03-06
00-13999315,Ehsaan,Sandhu,Male,West Bengal,Kolkata,2016-10-14,Operations,Logistics Coordinator,Bachelor,62805,Good,Yes,1991-05-22,2018-11-06
00-90801586,Inaaya ,Bassi,Male,West Bengal,Durgapur,2015-08-18,Operations,Inventory Specialist,Bachelor,72764,Good,No,1982-05-06,2017-11-29
00-97226012,Aarna,Babu,Female,West Bengal,Durgapur,2022-01-12,Operations,Operations Analyst,Bachelor,53874,Satisfactory,No,2003-09-17,2022-07-11
00-70291817,Divij,Chopra,Female,West Bengal,Kolkata,2020-03-31,Operations,Operations Analyst,Bachelor,75502,Good,Yes,1974-05-25,2020-09-27
00-31429110,Dishani,Ramachandran,Male,West Bengal,Howrah,2022-01-11,Finance,Accountant,Bachelor,67400,Good,No,2001-05-05,2022-07-10
00-30868105,Jhanvi,Chaudhary,Female,West Bengal,Howrah,2017-10-06,Finance,Accounts Payable Specialist,Bachelor,54917,Good,Yes,1966-01-15,2021-11-15
00-22448136,Nehmat,Sarna,Male,West Bengal,Howrah,2018-07-31,Operations,Inventory Specialist,High School,60559,Good,No,1969-09-22,2022-03-30
00-56164955,Aaina,Choudhary,Female,West Bengal,Durgapur,2021-06-24,Operations,Logistics Coordinator,Bachelor,54541,Good,Yes,1989-05-26,2021-12-21
00-71662963,Khushi,Dewan,Female,West Bengal,Howrah,2020-11-10,Marketing,SEO Specialist,High School,89122,Good,No,1984-08-03,2024-01-28
00-84093639,Aarush,Sibal,Female,West Bengal,Howrah,2017-11-09,HR,Recruiter,High School,62004,Good,No,1996-05-14,2018-05-08
00-58537831,Indranil,Sarkar,Male,West Bengal,Durgapur,2020-06-13,Operations,Operations Analyst,Bachelor,68853,Good,No,1981-01-06,2020-12-10
00-16150444,Shlok,Dewan,Female,West Bengal,Kolkata,2022-03-02,Customer Service,Help Desk Technician,High School,65528,Good,No,1993-08-27,2022-08-29
